Unnamed: 0,description,hashtags,url,account_id,likes,comments,topic
660.0,BRAND स्टेट्स साठी PAGE ला FOLLOW करा.LIKE✅COMMENT✅SHERE✅.Follow ❤👇 ...  vibes✨ s_nippon_portrait   ,#fastival #lover #fastivalvibes✨ #lovers_nippon_portrait #lovefood #loveshayari #loveyouall,https://www.instagram.com/reels/C6FlZRQJzv6/,itz_prakash2.m,122K,74,Relationships
661.0,Study mode: ON. Brain playlist: Also ON. 🎶📚             y            ,#ExamPrepStruggles #gulmarg #china #taiwan #farmers #stokes #viratkohli #mahindra #chalo #studysync #examdance #rightmoves #annauniversity #chennai #modi #bjp #tamilcinema #trending #reel #instagram #exam #srm #vit #vellore #velsuniversity #pepsico,https://www.instagram.com/reels/C3pjXmxxCGi/,maths.engineering,144K,234,Education
662.0,"Carve your Body with Pushups ⚠️.Pushups is a foundational movement you want to Master.Here are the 4 Form Tips you can use now to Master your Pushups. 🔥Form Tip : Instead of having your Fingers Stuck Together, make sure to spread your Fingers Apart, so you have greater stability at the wrist and avoid any Wrist Pain. ⚠️Form Tip : Instead of having your Hips Collapsed and NOT engaged, make sure you squeeze your Glutes together, so you’re stabilized at the Hips. ✅Form Tip : Instead of Having your Feet Apart, oftentimes I’ve seen plenty of people with uneven stance, so make sure to have your Feet in Together so it’s more even, this will make the exercise slightly more challenging, but a better formed Pushup. ✅Form Tip : Instead of Having your Elbows Flared Out and your Upper Traps Over-engaged, relax your traps and Tuck your Elbows in Slightly so you can train pain free. ✅Save this for next time you do Pushups. 🔥Keep crushing it saiyans. 💪🏽.  workout",#1 #2 #3 #4 #pushups #chest #chestworkout,https://www.instagram.com/reels/C5kITFstZv6/,hazzytrainer,1.1M,327,Fitness
663.0,"This is the best door lock password i have ever seen 😱❾¾ Follow 🎯🌟 for more increadible🌠 and magical😌 content 👌✨......🎯No copyright infringement intended.©All rights to j.k. Rowling and Warner Bros.©⚠️Important⚠️-------------------------------------------------------------------🖐️Disclaimer : Credit is owned by the content creators. Please contact me for the credit issue. The copyright credit goes to the respective owners.This is not shared for illegal sharing or profit making. If there is any problem, feel free to message me. I will immediately remove it. No need to send a strike.-------------------------‐-----------------------------------------‼Copyright Disclaimer under Section 107 of the copyright act 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favour of fair use‼",,https://www.instagram.com/reels/C5p9WUPyj5V/,potterr.memes,67.1K,315,
664.0,Reunited with the little brother 🤍🐣 Happy Easter 🐇         ,#fyp #doctor #medicine #ootd #fashion #healthtok #transition #viral #medschool #lifestyle,https://www.instagram.com/reels/C5MlqPlMR3l/,onceuponadoctorr,1.9M,"5,845",Healthcare
665.0,"Detan step-1 (Cleansing)....stay tuned for step-2.( treat - lotion or cream wich contains alpha arbutin,kozic acid, AHA&BHA more...)step-3 moisturization.step-4 sun protection.also remember it takes 3-4 weeks to see visible results...so be patience⭐..📌don't forget to apply sunscreen & moisturizer.📌you can use safe skin whitening cream.📌drink a lots of water.✅share with friends.✅comment your skin/hair questions...📌disclaimer :information on this Instagram handle should not be considered as a substitute for advice from a qualified dermatologist. please consult with a physician / dermatologist regarding any medical or health related diagnosis and treatment options..images credit : .     routine   products  ning     tips     tips         whitening",#tanremoval #skincare #glowingskin #beauty #tan #skincareroutine #naturalskincare #detan #skincareproducts #facepack #tanning #selfcare #scrub #skinbrightening #healthyskin #beautytips #cosmetics #skin #facial #faketan #skincaretips #clearskin #trending #acne #exfoliation #antitan #facemask #darkspots #organicskincare #skinwhitening,https://www.instagram.com/reels/C45BW2jP_r6/,dr.hadiya_skin_hair,1.3M,"6,871",Healthcare
666.0,"‘ನಿಮ್ಮ ಅಮೂಲ್ಯವಾದ ಮತ ಚಲಾಯಿಸಿ, ಪ್ರಜಾಪ್ರಭುತ್ವವನ್ನು ಗೆಲ್ಲಿಸಿ’85 ವರ್ಷ ಮೇಲ್ಪಟ್ಟ ಹಿರಿಯ ನಾಗರಿಕರು ಹಾಗೂ ದಿವ್ಯಾಂಗರಿಗೆ ಮತ ಚಲಾಯಿಸಲು ಅನುಕೂಲವಾಗಲೆಂದು ಮತಗಟ್ಟೆಯೇ ನಿಮ್ಮ ಮನೆ ಬಾಗಿಲಿಗೆ ಬರುತ್ತಿದೆ. ನಿಮ್ಮ ಅಮೂಲ್ಯವಾದ ಮತವನ್ನು ಕ್ರಮ ಸಂಖ್ಯೆ 1 , ಕಮಲದ ಗುರುತಿಗೆ ನೀಡುವ ಮೂಲಕ ನನ್ನನ್ನು ಬೆಂಗಳೂರು ಗ್ರಾಮಾಂತರ ಲೋಕಸಭಾ ಕ್ಷೇತ್ರದ ಸಂಸದನನ್ನಾಗಿ ಆಯ್ಕೆ ಮಾಡಿ ಎಂದು ಈ ಮೂಲಕ ಕೇಳಿಕೊಳ್ಳುತ್ತಿದ್ದೇನೆ.      ",#PhirEkBaarModiSarkar #AbkiBaar400Paar #ಮತ್ತೊಮ್ಮೆಮೋದಿಸರ್ಕಾರ #BengaluruRural #NDA #BJP #JDS,https://www.instagram.com/reels/C5xonOCPbNR/,drcnmanjunath,95.2K,"1,529",Society
667.0,"world record for the most world records? 🥇👏: , , , , , Max Stöckl,           ",#redbull #givesyouwiiings #worldrecord #motorsports #speedskating #RedBullFlugtag #flugtag #wintersports #skiing #MTB #stratos,https://www.instagram.com/reels/C4YNAIsCdyC/,redbull,4.2M,"8,261",Sports
668.0,Always wear seatbelt ✅ Share kardo...               good  instagram video    ofinstagram       ,#plusdrive #beaware #trucks #accident #highwayaccident #drivinglessons #learndriving #newdrivers #beginner #highwaydriving #truckaccidents #tatapunch #tatanexon #instagram #insta #instagood #reels #reelsinstagram #reelsvideo #reelitfeelit #reelkarofeelkaro #cars #carsofinstagram #carporn #100kmphofficial #suv #plusdrive #cartips #carlovers #tatacurvv,https://www.instagram.com/reels/C21qEyFSM96/,plusdrive_155,124K,514,Education
669.0,Mosa 🤦🏻‍♀️😂,,https://www.instagram.com/reels/C6GiejcMAkW/,rjpunitha_acharya,49.9K,104,
670.0,"Нашумевший тренд в исполнении моей  😭👸Я конечно не из робких, но и моя солнышка вытянула лучше некоторых взрослых, мой маленький крепкий орешек❤️😭Отдельно благодарю моих девочек за создания этого шедевра  &  и отдельная благодарность моему мужу за поддержку, он присутствовал весь процесс с 7-ми вечера до 3-х утра.",#asokatrendmakeup #bollywood #asokamakeup,https://www.instagram.com/reels/C6GFN7pIyHg/,zulfiya.rauanova,266K,"4,608",Fashion
671.0,"Read the caption first!These are year wise salary of Consultants in firms like Mckinsey, Bain and BCG, AT Kearney, Oliver Wyman, Strategy&, LEK, Alvarez Marshal and some other top tier strategy consulting firms. These do not apply to big 4 where salary will be about 30-40% lower. And there are many types of consultants even in tech and just giving the designation of consultant is not enough. This is Management or strategy consulting what Aman Gupta is talking aboutAnd also note these are salaries from top Bschools and roles offered in those institutions.( IIM ABCL, FMS, XLRI). There are other roles as well which these consulting firms might offer in other bschools and the salary range can be different for those.......          ",#consulting #placements #iimplacements #consultants #mbaplacements #mbastudent #iimahmedabad #iima #mckinsey #bain #bcg,https://www.instagram.com/reels/C4NA8rRR42a/,anantachhajer,902K,"2,389",Education
672.0,“I CaN liFt mORe tHaN yoU ☺️” alright Johny stfu    ,#proteingoals #buildingmuscle #increasingstrength #gettingstrongereveryday #outlift,https://www.instagram.com/reels/C5Btg8_rjPG/,luknelifts,266K,"2,536",Fitness
673.0,🖤,,https://www.instagram.com/reels/C2st0NsLtO3/,mytinymuscles,1.6M,"4,446",
674.0,"In house Ice cream from Bhat and Bhat Ice cream Vijaynagar!They also have branch at Kumaraswamy Layout.Location 📍Bhat and Bhat Ice cream456, 8th Main Rd, SBI Staff Colony, Hoshalli Extension, Stage 1, Vijayanagar, Bengaluru, Karnataka 560040           instagram    ",#foodymonk #eatwithmonk #vijaynagar #hosahalli #icecream #dessertporn #hotchocolatefudge #bangaloredays #bengalurufoodie #bangalorefoodies #reels #reelsinstagram #reeloftheday #reelitfeelit #reelkarofeelkaro #kannadareels,https://www.instagram.com/reels/C6GVbUTPR0a/,foody.monk,21.3K,19,Food
675.0,"Today is Day 31 in a row of me giving away one of my Moon Mugs to one of you followers, free. You can enter to win it here, no purchase necessary: cherricopottery.com/freemoonmugs. Today's winner is Jessica, one of my Patreon subscribers from Colorado, USA. Congrats, Jessica! And thanks for supporting my art! I'm shipping you the Moon Mug I'm drinking from in this video (after I clean it) free. I'll pick most winners from the subscribers at cherricopottery.com/freemoonmugs, but sometimes I'll pick a winner from the comments. So leave a comment please, why would you like me to send you a free Moon Mug? 🔊🎶 ""God Bite"" by ",,https://www.instagram.com/reels/C6FofGFMAvg/,cherricopottery,16.3K,292,
676.0,Just a pov🙂  ming merlifestyle suit coach training        youthgames,#swim #swimming #swimmerlifestyle #swimsuit #swimcoach #swimtraining #practice #consistencyiskey #sportsmotivation💪 #sportmotivation #motivation #winner #kheloindia #kheloindiayouthgames,https://www.instagram.com/reels/C5I1h1GPFUf/,rish__the__fish__,20.3K,94,Sports
677.0,"My friend first time in Aeroplane😂..No problem! Here's the information about the Mercedes CLR GTR:The Mercedes CLR GTR is a remarkable racing car celebrated for its outstanding performance and sleek design. Powered by a potent 6.0-liter V12 engine, it delivers over 600 horsepower. 🔧Acceleration from 0 to 100 km/h takes approximately 3.7 seconds, with a remarkable top speed surpassing 320 km/h. 🥇Incorporating advanced aerodynamic features and cutting-edge stability technologies, the CLR GTR ensures exceptional stability and control, particularly during high-speed maneuvers.🌬️Originally priced around $1.5 million, the Mercedes CLR GTR is considered one of the most exclusive and prestigious racing cars ever produced. 💰Its limited production run of just five units adds to its rarity, making it highly sought after by racing enthusiasts and collectors worldwide. 🌎...   ",#first #time #friend #aeroplane,https://www.instagram.com/reels/C6GOIIIL3ws/,thenameissahil_9,40.8K,171,Travel
678.0,Man will fail you 🙃Church on Sunday 12pm   region     verses quotes,#church #kitchener #waterloo #waterlooregion #fypシ #fyp #christian #bible #bibleverses #biblequotes,https://www.instagram.com/reels/C56InhVLlRl/,church180kw,131K,538,Spirituality
679.0,RARE ENGLISH INSULTS (⚠️USE AT YOUR OWN RISK)🤬BLATHERSKITE🤬POLTROON🤬CACAFUEGOWe can’t wait to EXPAND YOUR LEXICON further in the following weeks! 🤩Contact us on +919004614609 for more information about our FLAGSHIP ENGLISH PROGRAMMES! AtHome       lesson school            inseconds   ,#BrainyBrats #BrainyBratsAtHome #UnleashYourImagination #creativewriting #pronunciation #vocabulary #englishvocabulary #english #englishlesson #englishschool #expandyourlexicon #Masterclass #Englishlanguage #Elocution #Reading #PersonalityDevelopment #Brainstorming #Teachers #Writing #Stories #Essays #vocabularyinseconds #AdvancedEnglish #EnglishInsults #Insults,https://www.instagram.com/reels/C22DVLLIW8x/,brainybratsofficial,246K,"2,559",Education
680.0,Bangalore Karaga ❤️ karaga  karaga2024    majestic habba,#bangalore #bangalorekaraga #karaga #bangalorekaraga2024 #chikpat #cubbonpet #majestic #bangaloremajestic #bangalorehabba,https://www.instagram.com/reels/C6HxyrioXff/,foodies__.adda,32.7K,72,Society
681.0,"𝗧𝗵𝗲 𝟭% 𝗽𝗿𝗶𝗻𝗰𝗶𝗽𝗹𝗲Since 2020,one very important question helped me to improve on a regular basis. ""What one thing can I do today to improve myself by 1%?"" Superficially this might seem pointless cause ""change"" itself is a contiguous process, but this question helped me to identify a specific action that moves me closer to what I want to see myself as in my current self.And even when I'm writing this, my process of constantly changing, adopting & rethinking myself hasn't stopped. As I said it's a continuous process, I'll keep doing it till my last breath.In mathematics how it works?(1)³⁶⁵ = 1 so 365 days if a year you're staying the same without adding any input to improve yourself, hike your sustainability, extend your mentality, your output will be the same. And you'll always find yourself stuck in the vicious cycle of self loathing, self doubting, anxiety etc.Now, (1.01)³⁶⁵ = 37.78 so 365 days you're just adding barely 0.01 to your current input & see how big the change is in long term. The difference in value is just 1%… it’s tiny!Why are the differences so significant…?The answer is in the number 365, which represents every day of the year. It might be small in respect of daily life, but when accumulated 365 times it's a big difference.Consistency. Yes, that matters. Constantly pushing your barriers. Little steps, done consistently time & time again, compound into big, big differences.Is it another naive motivation? Not truly. Now I know you may be thinking… “I’m not interested in maths”. Well that’s understandable… but I believe maths is the foundation of human existence. Cause this universe itself is a symphony of numbers & string theory.So without questioning the process try to apply it. I got the result. Yes, it might not be too overwhelming if compare with others, but when it comes to my past self vs me rn, it's impeccable. It's completely a remarkable process.For more content follow👉👉👉👉👉👉👉👉&...☄️𝘁𝗮𝗴𝘀☄️",,https://www.instagram.com/reels/C6EjqjGh1QW/,manga.tetsu,149K,236,
682.0,"I was in genuine shock when Frannie first decided to chase the tennis ball all on her own! She had never done anything like this and could barely even walk around with assistance, let alone on her own! Thank god she loves tennis balls!I am so happy with how much her gait and balance has improved over the last few months! She’s much more stable and consistent when she runs after the ball! I don’t throw it for her that often to try not put too much pressure on her joints but I let her chase it every once in a while! It makes both of us so happy knowing she’s not as stuck in her own body as she was a few months ago. 💖💪",,https://www.instagram.com/reels/C6HCEwpRlvd/,frannies.fight,60K,778,
683.0,bhai Sach me use ni krnaHARPIC📈,#welift #transformation #liftingheavy #gains,https://www.instagram.com/reels/C6D_8syJMYD/,its.palak___,17.5K,657,Fitness
684.0,"21-year-old Gaurav Rai from Bhilai took his own life. For past 4 years, he has been in a relationship with a girl named Huma. Before his death, Gaurav made a video where he narrated that Huma cheated on him multiple times, & when confronted, Huma and her family threaten to accuse him for rape and they gave him death threats then he was tortured so much mentally that he took the decision to take his own life as I write this I feel sad for this poor guy no guy or girl should ever face this kind of consequences .As per report Huma and 2 other family members have been arrested I hope justice will be served. Rip ❤️.       age  ",#trendingreels #explorepage #fyp #crimestories #crimearepublic #justice #trendingreels #fypage #realstory #realstories,https://www.instagram.com/reels/C5kvTOZSnzS/,i_m_spidey,34.2K,619,Cinema
685.0,,borov057 · Original audio,https://www.instagram.com/reels/C57q6XcILQy/,borov057,25.7K,243,
686.0,There’s always a backup whale 🤣🐋✈️     ,#planes #whales #standupcomedy #comedian #funny,https://www.instagram.com/reels/C3nHeGQAd4h/,gianmarcosoresi,691K,811,Comedy
687.0,Follow Me Dieting VS Cheat Meal..... meal  tips    day     ,#cheat #cheatmeal #dieting #dietingtips #healthyfood #healthylifestyle #gymmotivation #cheatday #bodybuilding #fyp #explore #trending #viral,https://www.instagram.com/reels/C4QS0hpPaK_/,fuliyabijender,173K,681,Healthcare
688.0,Meditation     ,#standupcomedy #comedy #instagood #instagram #reelsinstagram #meditation,https://www.instagram.com/reels/C6GyBYspA1T/,rajamamidanna,"8,756",10,Comedy
689.0,ಕಾಂಗ್ರೆಸ್ ಮುಖಂಡ ಆರೀಫ್ ದೇಸಾಯಿ ಎಂಬಾತನಿಂದ ಡಾಕ್ಟರ್‍ಗೆ ಕಪಾಳಮೋಕ್ಷ!,,https://www.instagram.com/reels/C3W5Vszvv36/,news18kannada,237K,"3,678",
690.0,Hoping for some good comments💀    memes  ,#reelsinstagram #reelsindia #relatable #funny #relatablememes #explorepage #foryou,https://www.instagram.com/reels/C4ih5HNpARo/,shukla_vaishnavi,253K,16.9K,Trends
691.0,"Nihad was a 21-year-old university student in Duhok, Iraqi Kurdistan. He initially fled the building after hearing warnings of a possible gas explosion, but then realised his cat, Lulu, was still inside.He heroically went back into the building to rescue Lulu. Unfortunately, an explosion occurred shortly after, taking Nihad's life.Lulu survived the ordeal with minor burns and was later taken to Nihad's grave by his friends and family. This incident happened on November 22, 2022.This tragic event highlights Nihad's exceptional bravery and kindness, illustrating the lengths one would go to protect a beloved companion. My deepest respect goes out to Nihad for his selfless act of courage.Special thanks to  , Nihad's dear friend, for sharing his story of bravery and compassion. Your tribute honors his memory and inspires us all. 🙏",,https://www.instagram.com/reels/C3nMm24IZnK/,reallife_brave_stories,106K,"1,667",
692.0,"Chilli crisp potato button noodle ✨✅Here’s what you need:300gr peeled potatoes, boil till soft80 gr potato flour50 gr tapioca flourWater as needed for kneadingSeasoning:2 tbsp hot cooking oil1 tbsp dried chilli flakes1 tbsp minced garlic1 tbsp soy sauce1 chopped scallion      ",#homecooking #potatonoodles #noodle #veganrecipeshare #potatorecipes #easycooking #asmrfood,https://www.instagram.com/reels/C52-3gYP-lS/,eatwithhendri,689K,"1,161",Food
693.0,Martial arts kicks practice begginer,,https://www.instagram.com/reels/C4Kk7L-BfU0/,maria.flexy,23.4K,113,
694.0,Meowmeowoeeeeee.......bro cursing 😂😂( please check out your washing machine and dryers first)Follow  ofinstagram tagram agram ofIG ofworld ofinsta lover life oninstagram oftheworld oftheday lovers gram catscats rule andkittens ofday tocker kills areawesomeDm for credit or removal please,#cats #catsofinstagram #catstagram #catsagram #catsofIG #catsofworld #catsofinsta #catslover #catslife #catsoninstagram #catsoftheworld #catsoftheday #catslovers #catsgram #catscatscats #catsrule #catsandkittens #catsofday #catstocker #catskills #catsareawesome,https://www.instagram.com/reels/C26ZleYpjDU/,mrmeow_cutei,2.2M,"6,118",Animals
695.0,ಖರ್ಗೆ ಗೆ ತಲುಪುವ ತನಕ ಶೇರ್ ಮಾಡಿ    ,#mallikarjunkharge #NarendraModi #PrimeMinistermodi #Kalburgi #PriyankKharge,https://www.instagram.com/reels/C4kYPZTveRh/,nammnammo,29.5K,250,Society
